"season","game_id","team","player_id","period","shifts","first","last","position","datetime"
2016,20001,"ott",8476419,3,"918-932;973-991;423-453;85-122;1160-1198;1074-1114;328-372;694-759","Jean-Gabriel","Pageau","c","2016-10-12 23:00:00+00"
2016,20001,"tor",8477939,1,"480-501;833-858;287-322;510-547;77-128;899-960;666-739","William","Nylander","c","2016-10-12 23:00:00+00"
2016,20001,"tor",8477939,2,"1177-1197;64-85;367-396;816-850;994-1032;206-252;655-715;462-526","William","Nylander","c","2016-10-12 23:00:00+00"
2016,20001,"tor",8477939,3,"1198-1200;970-991;85-122;1074-1113;423-470;573-630;242-309;761-828","William","Nylander","c","2016-10-12 23:00:00+00"
2016,20001,"tor",8477939,4,"0-37","William","Nylander","c","2016-10-12 23:00:00+00"
2016,20017,"bos",8468575,1,"281-301;695-716;173-202;72-116;321-365;886-931;1055-1130","Dominic","Moore","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8468575,2,"212-235;1176-1200;692-717;792-827;297-346;512-562;942-1020","Dominic","Moore","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8468575,3,"1194-1200;297-347;79-130;514-568;990-1050;717-785","Dominic","Moore","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8470655,1,"134-136;437-441;0-33;446-485;793-835;1140-1200;946-1013;538-626","David","Backes","r","2016-10-15 23:00:00+00"
2016,20017,"bos",8470655,2,"717-747;874-916;1073-1116;593-650;235-297;375-441;0-69","David","Backes","r","2016-10-15 23:00:00+00"
2016,20017,"bos",8470655,3,"0-38;192-236;785-831;573-622;403-459;932-990","David","Backes","r","2016-10-15 23:00:00+00"
2016,20017,"bos",8471276,1,"1111-1140;33-72;485-527;835-882;365-415;716-773;222-281;946-1013;538-626","David","Krejci","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8471276,2,"650-692;827-874;1020-1073;69-147;375-454","David","Krejci","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8471276,3,"38-79;889-932;1110-1158;573-632;236-297;459-520","David","Krejci","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8473419,1,"527-538;293-321;0-38;134-173;793-835;1013-1055;441-485;626-695","Brad","Marchand","l","2016-10-15 23:00:00+00"
2016,20017,"bos",8473419,2,"713-747;454-492;878-916;593-650;1073-1133;235-297;0-69","Brad","Marchand","l","2016-10-15 23:00:00+00"
2016,20017,"bos",8473419,3,"0-36;403-439;192-236;929-990;785-854;622-703","Brad","Marchand","l","2016-10-15 23:00:00+00"
2016,20017,"bos",8473492,1,"931-946;116-134;400-426;207-239;752-793;1013-1055;626-695;1130-1200","Matt","Beleskey","l","2016-10-15 23:00:00+00"
2016,20017,"bos",8473492,2,"916-942;346-375;562-593;847-878;1133-1176;747-792;454-512;139-212","Matt","Beleskey","l","2016-10-15 23:00:00+00"
2016,20017,"bos",8473492,3,"568-573;831-872;347-403;1050-1110;130-192;622-717","Matt","Beleskey","l","2016-10-15 23:00:00+00"
2016,20017,"bos",8474062,1,"520-538;281-301;695-716;72-116;321-365;882-931;1055-1111;136-207","Riley","Nash","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8474062,2,"692-713;212-235;1176-1200;792-836;297-353;956-1015;490-556","Riley","Nash","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8474062,3,"1158-1200;297-344;79-130;520-573;990-1054;703-785","Riley","Nash","c","2016-10-15 23:00:00+00"
2016,20017,"bos",8474625,1,"931-946;116-134;301-321;773-793;1111-1200","Jimmy","Hayes","r","2016-10-15 23:00:00+00"
