"season","game_id","team","period","strength_sit","timeranges"
2016,20195,"stl",3,"ev5","0-559;679-718;838-884;1004-1104"
2016,20195,"stl",3,"pp","559-679"
2016,20195,"stl",3,"sh","718-838;884-1004;1104-1200"
2016,20195,"stl",4,"sh","0-24"
2016,20209,"wsh",1,"ev5","0-338;399-1200"
2016,20209,"wsh",1,"sh","338-399"
2016,20209,"wsh",2,"ev5","0-910;1030-1200"
2016,20209,"wsh",2,"sh","910-1030"
2016,20209,"wsh",3,"ev5","0-1050;1177-1200"
2016,20226,"mtl",1,"ev5","0-110;230-1089"
2016,20226,"mtl",1,"pp","1089-1200"
2016,20226,"mtl",1,"sh","110-230"
2016,20226,"mtl",2,"ev5","9-24;59-560;680-1200"
2016,20226,"mtl",2,"pp","0-9;24-59"
2016,20226,"mtl",2,"sh","560-680"
2016,20226,"mtl",3,"ev5","0-1024"
2016,20238,"wpg",1,"ev5","0-1174"
2016,20238,"wpg",1,"sh","1174-1200"
2016,20238,"wpg",2,"ev5","94-286;459-586;706-1200"
2016,20238,"wpg",2,"pp","586-706"
2016,20238,"wpg",2,"sh","0-94;286-459"
2016,20238,"wpg",3,"ev5","0-1200"
2016,20259,"cgy",1,"ev5","0-527;653-1116"
2016,20259,"cgy",1,"pp","533-653;1116-1200"
2016,20259,"cgy",2,"ev5","36-620;740-815;874-1095"
2016,20259,"cgy",2,"pp","0-36;620-740;1095-1200"
2016,20259,"cgy",2,"sh","815-874"
2016,20259,"cgy",3,"ev5","15-1140"
2016,20259,"cgy",3,"pp","0-15"
2016,20270,"van",1,"ev5","0-755;829-1200"
2016,20270,"van",1,"pp","755-829"
2016,20270,"van",2,"ev5","0-352;472-927;1047-1200"
2016,20270,"van",2,"pp","352-472"
2016,20270,"van",2,"sh","927-1047"
2016,20270,"van",3,"ev5","0-29;167-772;892-1200"
2016,20270,"van",3,"sh","47-167;772-892"
2016,20281,"edm",1,"ev5","0-583;703-1060;1166-1200"
2016,20281,"edm",1,"pp","583-703;1060-1166"
2016,20281,"edm",2,"ev5","0-159;279-1072;1192-1200"
2016,20281,"edm",2,"pp","1072-1192"
2016,20281,"edm",2,"sh","159-279"
2016,20281,"edm",3,"ev5","0-1005;1115-1137"
2016,20281,"edm",3,"pp","1005-1115"
2016,20281,"edm",3,"sh","1137-1200"
2016,20299,"sjs",1,"ev5","0-636;756-856;976-1200"
2016,20299,"sjs",1,"pp","680-692"
2016,20299,"sjs",1,"sh","856-976"
2016,20299,"sjs",2,"ev5","0-846;1067-1200"
2016,20299,"sjs",2,"pp","947-1067"
2016,20299,"sjs",2,"sh","846-928"
2016,20299,"sjs",3,"ev5","0-820;940-1108"
2016,20299,"sjs",3,"pp","820-940"
2016,20814,"wpg",1,"ev5","0-129;275-485;605-1119"
2016,20814,"wpg",1,"pp","1119-1200"
2016,20814,"wpg",1,"sh","155-275;485-605"
2016,20814,"wpg",2,"ev5","39-1200"
2016,20814,"wpg",2,"pp","0-39"
2016,20814,"wpg",3,"ev5","0-807;927-1040;1184-1200"
2016,20814,"wpg",3,"pp","807-927;1089-1129"
2016,20512,"col",1,"ev5","0-466;624-1200"
2016,20512,"col",1,"sh","504-624"
2016,20512,"col",2,"ev5","0-659;712-938;1058-1145"
2016,20512,"col",2,"pp","938-1058"
2016,20512,"col",2,"sh","659-712;1162-1200"
2016,20512,"col",3,"ev5","82-181;301-534;654-1200"
2016,20512,"col",3,"sh","0-82;181-301"
2016,20433,"nyr",1,"ev5","0-247;367-1200"
2016,20433,"nyr",1,"sh","247-367"
2016,20433,"nyr",2,"ev5","0-734;854-1200"
2016,20433,"nyr",3,"ev5","0-1121"
2016,20523,"wpg",1,"ev5","0-65;188-734;854-1200"
2016,20523,"wpg",1,"pp","68-188"
2016,20523,"wpg",1,"sh","734-854"
2016,20523,"wpg",2,"ev5","0-189;309-1200"
2016,20523,"wpg",2,"sh","189-309"
2016,20523,"wpg",3,"ev5","0-449;569-1020"
2016,20523,"wpg",3,"sh","449-569"
2016,20827,"edm",1,"ev5","0-569;594-935;1055-1200"
2016,20827,"edm",1,"pp","935-1055"
2016,20827,"edm",1,"sh","569-594"
2016,20827,"edm",2,"ev5","0-1037;1106-1200"
2016,20827,"edm",2,"sh","1037-1106"
2016,20827,"edm",3,"ev5","0-1028;1148-1200"
2016,20827,"edm",3,"pp","1028-1148"
2016,20446,"nyi",1,"ev5","0-494;587-706;783-1088"
2016,20446,"nyi",1,"pp","1088-1200"
2016,20446,"nyi",1,"sh","494-587;706-783"
2016,20446,"nyi",2,"ev5","8-1108;1181-1200"
2016,20446,"nyi",2,"pp","0-8"
2016,20446,"nyi",2,"sh","1108-1181"
2016,20446,"nyi",3,"ev5","0-523;643-1137"
2016,20446,"nyi",3,"pp","523-643"
2016,20863,"edm",1,"ev5","0-394;546-923;1043-1195"
2016,20863,"edm",1,"pp","1195-1200"
2016,20863,"edm",1,"sh","426-546;923-1043"
2016,20863,"edm",2,"ev5","115-186;302-1200"
2016,20863,"edm",2,"pp","0-115;186-302"
2016,20863,"edm",3,"ev5","0-409;529-1070;1173-1180"
2016,20863,"edm",3,"sh","409-529"
2016,20872,"buf",1,"ev5","0-450;572-858;1078-1200"
2016,20872,"buf",1,"pp","452-572;958-1078"
2016,20872,"buf",1,"sh","858-946"
2016,20872,"buf",2,"ev5","0-1200"
2016,20872,"buf",3,"ev5","0-659;779-874;1160-1200"
2016,20872,"buf",3,"pp","659-779"
2016,20872,"buf",3,"sh","920-1160"
2016,20889,"min",1,"ev5","0-1200"
2016,20889,"min",2,"ev5","0-188;260-325;445-1200"
2016,20889,"min",2,"pp","188-260"
2016,20889,"min",2,"sh","325-445"
2016,20889,"min",3,"ev5","0-112;232-772;789-1107;1138-1148"
2016,20889,"min",3,"pp","772-789"
2016,20889,"min",3,"sh","112-232"
2016,20898,"ari",1,"ev5","0-1142"
2016,20898,"ari",1,"pp","1142-1200"
2016,20898,"ari",2,"ev5","62-372;566-1094"
2016,20898,"ari",2,"pp","0-62;372-446;1094-1200"
2016,20898,"ari",2,"sh","492-566"
2016,20898,"ari",3,"ev5","135-786;906-1200"
2016,20898,"ari",3,"pp","0-135"
2016,20898,"ari",3,"sh","786-906"
2016,20467,"stl",1,"ev5","0-309;429-1200"
2016,20467,"stl",1,"sh","309-429"
2016,20467,"stl",2,"ev5","0-1200"
2016,20467,"stl",3,"ev5","0-442;562-766;926-1108;1151-1156"
2016,20467,"stl",3,"sh","442-562;806-926"
2016,20474,"sjs",1,"ev5","0-485;605-947;1067-1200"
2016,20474,"sjs",1,"pp","947-1067"
2016,20474,"sjs",1,"sh","485-605"
2016,20474,"sjs",2,"ev5","0-401;521-557;677-1200"
2016,20474,"sjs",2,"pp","557-677"
2016,20474,"sjs",2,"sh","401-521"
2016,20474,"sjs",3,"ev5","0-1126;1153-1200"
2016,20489,"ott",1,"ev5","0-607;677-1061;1181-1200"
2016,20489,"ott",1,"pp","1061-1181"
2016,20489,"ott",1,"sh","614-677"
2016,20489,"ott",2,"ev5","0-324;450-846;862-1025;1140-1200"
2016,20489,"ott",2,"pp","330-450;846-862"
2016,20489,"ott",2,"sh","1025-1140"
2016,20489,"ott",3,"ev5","0-53;102-468;588-679;799-882;1002-1078"
2016,20489,"ott",3,"pp","468-588;882-1002"
2016,20489,"ott",3,"sh","679-799"
2016,20537,"nsh",1,"ev5","0-98;218-616;736-771;799-1067;1187-1200"
2016,20537,"nsh",1,"pp","616-736;1067-1187"
2016,20537,"nsh",1,"sh","98-218;771-799"
2016,20537,"nsh",2,"ev5","0-411;531-583;703-1098"
2016,20537,"nsh",2,"pp","411-531"
2016,20537,"nsh",2,"sh","583-703;1098-1200"
2016,20537,"nsh",3,"ev5","18-306;373-586;664-1115"
2016,20537,"nsh",3,"pp","306-373"
2016,20537,"nsh",3,"sh","0-18;586-664"
2016,20544,"car",1,"ev5","0-717;837-1200"
2016,20544,"car",1,"sh","717-837"
2016,20544,"car",2,"ev5","0-694;814-1200"
2016,20544,"car",2,"pp","694-814"
2016,20544,"car",3,"ev5","0-1088"
2016,20562,"stl",1,"ev5","0-624;744-1060;1180-1200"
2016,20562,"stl",1,"pp","1060-1180"
2016,20562,"stl",1,"sh","624-744"
2016,20562,"stl",2,"ev5","0-249;369-650;770-1150"
2016,20562,"stl",2,"pp","249-369;1150-1200"
2016,20562,"stl",2,"sh","650-770"
2016,20562,"stl",3,"ev5","70-294;414-573;693-1007;1126-1200"
2016,20562,"stl",3,"pp","0-70;294-414"
2016,20562,"stl",3,"sh","573-693"
2016,20582,"buf",1,"ev5","0-78;198-826;946-1200"
2016,20582,"buf",1,"sh","78-198;826-946"
2016,20582,"buf",2,"ev5","0-131;257-1057;1090-1192"
2016,20582,"buf",2,"pp","137-257;1057-1090;1192-1200"
2016,20582,"buf",3,"ev5","70-1200"
2016,20582,"buf",3,"pp","0-70"
2016,20587,"car",1,"ev5","0-511;631-831;951-1200"
2016,20587,"car",1,"pp","511-631;831-951"
2016,20587,"car",2,"ev5","0-168;284-655;775-792;809-1200"
2016,20587,"car",2,"pp","655-775"
2016,20587,"car",2,"sh","168-284;792-809"
2016,20587,"car",3,"ev5","0-1095"
2016,20587,"car",3,"sh","1198-1200"
2016,20917,"stl",1,"ev5","0-556;704-1200"
2016,20917,"stl",1,"pp","556-593"
2016,20917,"stl",1,"sh","676-704"
2016,20917,"stl",2,"ev5","0-446;600-667;753-1200"
2016,20917,"stl",2,"pp","667-753"
2016,20917,"stl",2,"sh","480-600"
2016,20917,"stl",3,"ev5","0-1101;1197-1200"
2016,20988,"ana",1,"ev5","0-370;490-875;995-1032;1152-1200"
2016,20988,"ana",1,"sh","370-490;1032-1152"
2016,20988,"ana",2,"ev5","0-233;353-705;825-1200"
2016,20988,"ana",2,"pp","233-353;705-825"
2016,20988,"ana",3,"ev5","0-1060"
2016,20935,"pit",1,"ev5","0-884;1004-1200"
2016,20935,"pit",1,"sh","884-1004"
2016,20935,"pit",2,"ev5","0-1200"
2016,20935,"pit",3,"ev5","0-1053;1078-1084;1112-1120;1159-1200"
2016,21012,"min",1,"ev5","0-1061;1181-1200"
2016,21012,"min",1,"pp","1061-1181"
2016,21012,"min",2,"ev5","0-1200"
2016,21012,"min",3,"ev5","0-128;248-1071"
2016,21012,"min",3,"sh","128-248;1071-1130;1173-1200"
2016,20949,"nyi",1,"ev5","0-549;669-964;1084-1200"
2016,20949,"nyi",1,"pp","964-1084"
2016,20949,"nyi",1,"sh","549-669"
