"datetime","game_id","team","score_sit","sf","sa","bsf","bsa","msf","msa"
"2016-10-12 23:00:00+00",20001,"tor",-1,1,0,1,0,0,0
"2016-10-12 23:00:00+00",20001,"tor",0,17,12,13,4,6,6
"2016-10-12 23:00:00+00",20001,"tor",1,13,10,9,1,8,3
"2016-10-12 23:00:00+00",20001,"ott",-1,10,13,1,9,3,8
"2016-10-12 23:00:00+00",20001,"ott",0,12,17,4,13,6,6
"2016-10-12 23:00:00+00",20001,"ott",1,0,1,0,1,0,0
"2016-10-13 00:00:00+00",20002,"stl",-1,10,3,3,6,4,3
"2016-10-13 00:00:00+00",20002,"stl",0,6,3,1,4,3,1
"2016-10-13 00:00:00+00",20002,"stl",1,3,5,2,2,1,0
"2016-10-13 00:00:00+00",20002,"stl",2,0,0,0,0,0,0
"2016-10-13 00:00:00+00",20002,"stl",3,0,0,1,0,0,0
"2016-10-13 00:00:00+00",20002,"chi",-3,0,0,0,1,0,0
"2016-10-13 00:00:00+00",20002,"chi",-2,0,0,0,0,0,0
"2016-10-13 00:00:00+00",20002,"chi",-1,5,3,2,2,0,1
"2016-10-13 00:00:00+00",20002,"chi",0,3,6,4,1,1,3
"2016-10-13 00:00:00+00",20002,"chi",1,3,10,6,3,3,4
"2016-10-13 02:00:00+00",20003,"cgy",-3,1,1,0,0,2,0
"2016-10-13 02:00:00+00",20003,"cgy",-2,18,13,3,1,6,4
"2016-10-13 02:00:00+00",20003,"cgy",-1,5,5,3,5,0,1
"2016-10-13 02:00:00+00",20003,"cgy",0,2,3,2,0,1,1
"2016-10-13 02:00:00+00",20003,"edm",0,3,2,0,2,1,1
"2016-10-13 02:00:00+00",20003,"edm",1,5,5,5,3,1,0
"2016-10-13 02:00:00+00",20003,"edm",2,13,18,1,3,4,6
"2016-10-13 02:00:00+00",20003,"edm",3,1,1,0,0,0,2
"2016-10-13 02:30:00+00",20004,"lak",-1,7,8,5,3,2,4
"2016-10-13 02:30:00+00",20004,"lak",0,8,12,9,12,10,9
"2016-10-13 02:30:00+00",20004,"lak",1,5,7,5,4,1,3
"2016-10-13 02:30:00+00",20004,"sjs",-1,7,5,4,5,3,1
"2016-10-13 02:30:00+00",20004,"sjs",0,12,8,12,9,9,10
"2016-10-13 02:30:00+00",20004,"sjs",1,8,7,3,5,4,2
"2016-10-13 23:00:00+00",20005,"mtl",0,6,1,1,0,1,0
"2016-10-13 23:00:00+00",20005,"mtl",1,9,10,1,3,4,3
"2016-10-13 23:00:00+00",20005,"mtl",2,6,9,4,2,3,1
"2016-10-13 23:00:00+00",20005,"mtl",3,0,3,0,2,1,2
"2016-10-13 23:00:00+00",20005,"buf",-3,3,0,2,0,2,1
"2016-10-13 23:00:00+00",20005,"buf",-2,9,6,2,4,1,3
"2016-10-13 23:00:00+00",20005,"buf",-1,10,9,3,1,3,4
"2016-10-13 23:00:00+00",20005,"buf",0,1,6,0,1,0,1
"2016-10-13 23:00:00+00",20006,"nyi",-3,1,0,0,0,0,0
"2016-10-13 23:00:00+00",20006,"nyi",-2,2,3,2,0,1,1
"2016-10-13 23:00:00+00",20006,"nyi",-1,15,8,7,10,6,2
"2016-10-13 23:00:00+00",20006,"nyi",0,7,13,5,6,5,6
"2016-10-13 23:00:00+00",20006,"nyr",0,13,7,6,5,6,5
"2016-10-13 23:00:00+00",20006,"nyr",1,8,15,10,7,2,6
"2016-10-13 23:00:00+00",20006,"nyr",2,3,2,0,2,1,1
"2016-10-13 23:00:00+00",20006,"nyr",3,0,1,0,0,0,0
"2016-10-14 00:00:00+00",20007,"wsh",-1,6,3,0,0,0,0
"2016-10-14 00:00:00+00",20007,"wsh",0,19,13,7,6,8,2
"2016-10-14 00:00:00+00",20007,"wsh",1,5,10,5,5,3,1
"2016-10-14 00:00:00+00",20007,"pit",-1,10,5,5,5,1,3
"2016-10-14 00:00:00+00",20007,"pit",0,13,19,6,7,2,8
"2016-10-14 00:00:00+00",20007,"pit",1,3,6,0,0,0,0
"2016-10-13 23:00:00+00",20008,"bos",-2,5,3,4,5,0,1
"2016-10-13 23:00:00+00",20008,"bos",-1,10,12,7,9,2,3
"2016-10-13 23:00:00+00",20008,"bos",0,11,4,0,4,1,1
"2016-10-13 23:00:00+00",20008,"bos",1,3,1,0,1,0,0
"2016-10-13 23:00:00+00",20008,"bos",2,0,1,0,2,3,0
"2016-10-13 23:00:00+00",20008,"bos",3,0,0,0,0,0,0
"2016-10-13 23:00:00+00",20008,"cbj",-3,0,0,0,0,0,0
"2016-10-13 23:00:00+00",20008,"cbj",-2,1,0,2,0,0,3
"2016-10-13 23:00:00+00",20008,"cbj",-1,1,3,1,0,0,0
"2016-10-13 23:00:00+00",20008,"cbj",0,4,11,4,0,1,1
"2016-10-13 23:00:00+00",20008,"cbj",1,12,10,9,7,3,2
"2016-10-13 23:00:00+00",20008,"cbj",2,3,5,5,4,1,0
"2016-10-13 23:30:00+00",20009,"det",-2,1,0,0,0,0,0
"2016-10-13 23:30:00+00",20009,"det",-1,7,4,1,1,0,1
"2016-10-13 23:30:00+00",20009,"det",0,6,7,0,4,2,1
"2016-10-13 23:30:00+00",20009,"det",1,4,6,1,2,1,4
"2016-10-13 23:30:00+00",20009,"det",2,9,9,4,8,2,8
"2016-10-13 23:30:00+00",20009,"tbl",-2,9,9,8,4,8,2
"2016-10-13 23:30:00+00",20009,"tbl",-1,6,4,2,1,4,1
"2016-10-13 23:30:00+00",20009,"tbl",0,7,6,4,0,1,2
"2016-10-13 23:30:00+00",20009,"tbl",1,4,7,1,1,1,0
"2016-10-13 23:30:00+00",20009,"tbl",2,0,1,0,0,0,0
"2016-10-13 23:30:00+00",20010,"njd",-1,6,5,0,0,1,4
"2016-10-13 23:30:00+00",20010,"njd",0,18,21,4,14,7,7
"2016-10-13 23:30:00+00",20010,"fla",0,21,18,14,4,7,7
"2016-10-13 23:30:00+00",20010,"fla",1,5,6,0,0,4,1
"2016-10-14 00:00:00+00",20011,"min",-2,5,2,2,1,1,1
"2016-10-14 00:00:00+00",20011,"min",-1,4,10,3,2,4,3
"2016-10-14 00:00:00+00",20011,"min",0,5,11,4,5,4,1
"2016-10-14 00:00:00+00",20011,"stl",0,11,5,5,4,1,4
"2016-10-14 00:00:00+00",20011,"stl",1,10,4,2,3,3,4
"2016-10-14 00:00:00+00",20011,"stl",2,2,5,1,2,1,1
"2016-10-14 00:00:00+00",20012,"car",-1,4,1,0,0,3,0
"2016-10-14 00:00:00+00",20012,"car",0,8,6,1,2,7,3
"2016-10-14 00:00:00+00",20012,"car",1,7,7,5,3,3,1
"2016-10-14 00:00:00+00",20012,"car",2,1,6,1,0,2,0
"2016-10-14 00:00:00+00",20012,"wpg",-2,6,1,0,1,0,2
"2016-10-14 00:00:00+00",20012,"wpg",-1,7,7,3,5,1,3
"2016-10-14 00:00:00+00",20012,"wpg",0,6,8,2,1,3,7
"2016-10-14 00:00:00+00",20012,"wpg",1,1,4,0,0,0,3
"2016-10-14 00:30:00+00",20013,"ana",-2,3,4,0,1,0,0
"2016-10-14 00:30:00+00",20013,"ana",-1,15,8,4,6,10,7
"2016-10-14 00:30:00+00",20013,"ana",0,2,4,1,4,2,6
"2016-10-14 00:30:00+00",20013,"dal",0,4,2,4,1,6,2
"2016-10-14 00:30:00+00",20013,"dal",1,8,15,6,4,7,10
"2016-10-14 00:30:00+00",20013,"dal",2,4,3,1,0,0,0
"2016-10-15 00:00:00+00",20014,"chi",-1,7,6,8,0,2,0
"2016-10-15 00:00:00+00",20014,"chi",0,8,10,4,2,7,4
"2016-10-15 00:00:00+00",20014,"chi",1,1,4,2,2,1,3
"2016-10-15 00:00:00+00",20014,"nsh",-1,4,1,2,2,3,1
"2016-10-15 00:00:00+00",20014,"nsh",0,10,8,2,4,4,7
"2016-10-15 00:00:00+00",20014,"nsh",1,6,7,0,8,0,2
"2016-10-15 01:00:00+00",20015,"edm",-1,11,15,3,1,0,1
"2016-10-15 01:00:00+00",20015,"edm",0,5,8,4,7,4,4
"2016-10-15 01:00:00+00",20015,"edm",1,2,6,1,1,2,3
"2016-10-15 01:00:00+00",20015,"edm",2,1,1,0,2,0,1
"2016-10-15 01:00:00+00",20015,"cgy",-2,1,1,2,0,1,0
"2016-10-15 01:00:00+00",20015,"cgy",-1,6,2,1,1,3,2
"2016-10-15 01:00:00+00",20015,"cgy",0,8,5,7,4,4,4
"2016-10-15 01:00:00+00",20015,"cgy",1,15,11,1,3,1,0
"2016-10-15 02:30:00+00",20016,"phi",0,3,12,2,5,4,5
"2016-10-15 02:30:00+00",20016,"phi",1,3,0,0,0,0,0
"2016-10-15 02:30:00+00",20016,"phi",2,9,7,6,6,1,4
"2016-10-15 02:30:00+00",20016,"phi",3,10,4,2,2,1,0
"2016-10-15 02:30:00+00",20016,"lak",-3,4,10,2,2,0,1
"2016-10-15 02:30:00+00",20016,"lak",-2,7,9,6,6,4,1
"2016-10-15 02:30:00+00",20016,"lak",-1,0,3,0,0,0,0
"2016-10-15 02:30:00+00",20016,"lak",0,12,3,5,2,5,4
"2016-10-15 23:00:00+00",20017,"bos",-3,5,5,5,5,6,0
"2016-10-15 23:00:00+00",20017,"bos",-2,12,12,8,6,6,5
"2016-10-15 23:00:00+00",20017,"bos",-1,1,2,2,0,1,0
"2016-10-15 23:00:00+00",20017,"bos",0,2,1,0,1,1,2
"2016-10-15 23:00:00+00",20017,"tor",0,1,2,1,0,2,1
"2016-10-15 23:00:00+00",20017,"tor",1,2,1,0,2,0,1
"2016-10-15 23:00:00+00",20017,"tor",2,12,12,6,8,5,6
"2016-10-15 23:00:00+00",20017,"tor",3,5,5,5,5,0,6
"2016-10-15 23:00:00+00",20018,"mtl",-2,5,7,2,2,3,2
"2016-10-15 23:00:00+00",20018,"mtl",-1,5,10,4,2,1,3
"2016-10-15 23:00:00+00",20018,"mtl",0,5,5,3,2,2,0
"2016-10-15 23:00:00+00",20018,"mtl",1,2,8,2,0,0,2
"2016-10-15 23:00:00+00",20018,"ott",-1,8,2,0,2,2,0
"2016-10-15 23:00:00+00",20018,"ott",0,5,5,2,3,0,2
"2016-10-15 23:00:00+00",20018,"ott",1,10,5,2,4,3,1
"2016-10-15 23:00:00+00",20018,"ott",2,7,5,2,2,2,3
"2016-10-15 23:00:00+00",20019,"njd",-1,6,3,0,1,1,2
"2016-10-15 23:00:00+00",20019,"njd",0,6,4,1,3,2,1
"2016-10-15 23:00:00+00",20019,"njd",1,3,3,1,1,0,3
"2016-10-15 23:00:00+00",20019,"njd",2,9,15,6,3,1,2
"2016-10-15 23:00:00+00",20019,"tbl",-2,15,9,3,6,2,1
"2016-10-15 23:00:00+00",20019,"tbl",-1,3,3,1,1,3,0
"2016-10-15 23:00:00+00",20019,"tbl",0,4,6,3,1,1,2
"2016-10-15 23:00:00+00",20019,"tbl",1,3,6,1,0,2,1
"2016-10-15 23:00:00+00",20020,"det",-3,0,0,0,0,0,0
"2016-10-15 23:00:00+00",20020,"det",-2,2,1,1,0,0,0
"2016-10-15 23:00:00+00",20020,"det",-1,19,30,11,4,4,11
"2016-10-15 23:00:00+00",20020,"det",0,0,1,0,0,2,0
"2016-10-15 23:00:00+00",20020,"fla",0,1,0,0,0,0,2
"2016-10-15 23:00:00+00",20020,"fla",1,30,19,4,11,11,4
"2016-10-15 23:00:00+00",20020,"fla",2,1,2,0,1,0,0
"2016-10-15 23:00:00+00",20020,"fla",3,0,0,0,0,0,0
"2016-10-15 23:00:00+00",20021,"ana",-2,2,2,0,0,0,0
"2016-10-15 23:00:00+00",20021,"ana",-1,15,19,6,4,4,3
"2016-10-15 23:00:00+00",20021,"ana",0,14,15,7,2,6,1
"2016-10-15 23:00:00+00",20021,"pit",0,15,14,2,7,1,6
"2016-10-15 23:00:00+00",20021,"pit",1,19,15,4,6,3,4
"2016-10-15 23:00:00+00",20021,"pit",2,2,2,0,0,0,0
"2016-10-15 23:00:00+00",20022,"nyi",-1,9,14,9,9,8,4
"2016-10-15 23:00:00+00",20022,"nyi",0,8,7,1,4,5,4
"2016-10-15 23:00:00+00",20022,"wsh",0,7,8,4,1,4,5
"2016-10-15 23:00:00+00",20022,"wsh",1,14,9,9,9,4,8
"2016-10-15 23:00:00+00",20023,"sjs",0,3,2,3,1,0,2
"2016-10-15 23:00:00+00",20023,"sjs",1,4,8,4,7,1,6
"2016-10-15 23:00:00+00",20023,"sjs",2,18,14,3,5,4,5
"2016-10-15 23:00:00+00",20023,"cbj",-2,14,18,5,3,5,4
"2016-10-15 23:00:00+00",20023,"cbj",-1,8,4,7,4,6,1
"2016-10-15 23:00:00+00",20023,"cbj",0,2,3,1,3,2,0
"2016-10-15 23:00:00+00",20024,"wpg",-2,1,1,2,0,2,2
"2016-10-15 23:00:00+00",20024,"wpg",-1,3,9,4,5,1,4
"2016-10-15 23:00:00+00",20024,"wpg",0,6,9,5,1,1,2
"2016-10-15 23:00:00+00",20024,"wpg",1,1,1,1,0,0,0
"2016-10-15 23:00:00+00",20024,"wpg",2,0,2,0,0,0,0
"2016-10-15 23:00:00+00",20024,"min",-2,2,0,0,0,0,0
"2016-10-15 23:00:00+00",20024,"min",-1,1,1,0,1,0,0
"2016-10-15 23:00:00+00",20024,"min",0,9,6,1,5,2,1
"2016-10-15 23:00:00+00",20024,"min",1,9,3,5,4,4,1
"2016-10-15 23:00:00+00",20024,"min",2,1,1,0,2,2,2
"2016-10-16 00:00:00+00",20025,"nyr",-2,1,0,0,0,0,0
"2016-10-16 00:00:00+00",20025,"nyr",-1,25,9,11,4,8,2
"2016-10-16 00:00:00+00",20025,"nyr",0,3,5,2,1,2,2
"2016-10-16 00:00:00+00",20025,"stl",0,5,3,1,2,2,2
"2016-10-16 00:00:00+00",20025,"stl",1,9,25,4,11,2,8
"2016-10-16 00:00:00+00",20025,"stl",2,0,1,0,0,0,0
"2016-10-16 00:30:00+00",20026,"nsh",-3,7,3,3,2,0,2
"2016-10-16 00:30:00+00",20026,"nsh",-2,12,8,4,4,5,2
"2016-10-16 00:30:00+00",20026,"nsh",-1,8,5,2,1,2,5
"2016-10-16 00:30:00+00",20026,"nsh",0,4,2,3,3,1,2
"2016-10-16 00:30:00+00",20026,"chi",0,2,4,3,3,2,1
"2016-10-16 00:30:00+00",20026,"chi",1,5,8,1,2,5,2
"2016-10-16 00:30:00+00",20026,"chi",2,8,12,4,4,2,5
"2016-10-16 00:30:00+00",20026,"chi",3,3,7,2,3,2,0
"2016-10-16 01:00:00+00",20027,"dal",-3,1,1,2,0,1,1
"2016-10-16 01:00:00+00",20027,"dal",-2,3,4,0,1,0,1
"2016-10-16 01:00:00+00",20027,"dal",-1,11,11,9,8,6,7
"2016-10-16 01:00:00+00",20027,"dal",0,0,2,0,0,2,0
"2016-10-16 01:00:00+00",20027,"dal",1,7,6,2,4,1,1
"2016-10-16 01:00:00+00",20027,"dal",2,0,1,0,0,0,0
"2016-10-16 01:00:00+00",20027,"col",-2,1,0,0,0,0,0
"2016-10-16 01:00:00+00",20027,"col",-1,6,7,4,2,1,1
"2016-10-16 01:00:00+00",20027,"col",0,2,0,0,0,0,2
"2016-10-16 01:00:00+00",20027,"col",1,11,11,8,9,7,6
"2016-10-16 01:00:00+00",20027,"col",2,4,3,1,0,1,0
"2016-10-16 01:00:00+00",20027,"col",3,1,1,0,2,1,1
"2016-10-16 01:00:00+00",20028,"phi",-2,3,2,0,1,2,0
"2016-10-16 01:00:00+00",20028,"phi",-1,12,3,4,2,5,5
"2016-10-16 01:00:00+00",20028,"phi",0,6,14,5,2,5,3
"2016-10-16 01:00:00+00",20028,"ari",0,14,6,2,5,3,5
"2016-10-16 01:00:00+00",20028,"ari",1,3,12,2,4,5,5
"2016-10-16 01:00:00+00",20028,"ari",2,2,3,1,0,0,2
"2016-10-16 02:00:00+00",20029,"cgy",0,4,4,2,3,2,5
"2016-10-16 02:00:00+00",20029,"cgy",1,14,16,6,12,3,8
"2016-10-16 02:00:00+00",20029,"van",-1,16,14,12,6,8,3
"2016-10-16 02:00:00+00",20029,"van",0,4,4,3,2,5,2
"2016-10-16 22:00:00+00",20030,"ana",-2,1,0,0,0,0,0
"2016-10-16 22:00:00+00",20030,"ana",-1,16,17,11,9,4,7
"2016-10-16 22:00:00+00",20030,"ana",0,1,6,0,1,0,0
"2016-10-16 22:00:00+00",20030,"nyi",0,6,1,1,0,0,0
"2016-10-16 22:00:00+00",20030,"nyi",1,17,16,9,11,7,4
"2016-10-16 22:00:00+00",20030,"nyi",2,0,1,0,0,0,0
"2016-10-16 23:00:00+00",20031,"buf",0,3,4,1,3,2,3
"2016-10-16 23:00:00+00",20031,"buf",1,5,7,4,3,0,1
"2016-10-16 23:00:00+00",20031,"buf",2,7,11,4,5,3,3
"2016-10-16 23:00:00+00",20031,"buf",3,1,4,0,2,1,2
"2016-10-16 23:00:00+00",20031,"edm",-3,4,1,2,0,2,1
"2016-10-16 23:00:00+00",20031,"edm",-2,11,7,5,4,3,3
"2016-10-16 23:00:00+00",20031,"edm",-1,7,5,3,4,1,0
"2016-10-16 23:00:00+00",20031,"edm",0,4,3,3,1,3,2
"2016-10-17 02:00:00+00",20032,"car",0,5,11,4,7,3,1
"2016-10-17 02:00:00+00",20032,"car",1,4,10,4,3,0,1
"2016-10-17 02:00:00+00",20032,"car",2,4,6,3,1,2,3
"2016-10-17 02:00:00+00",20032,"car",3,1,1,1,0,0,0
"2016-10-17 02:00:00+00",20032,"van",-3,1,1,0,1,0,0
"2016-10-17 02:00:00+00",20032,"van",-2,6,4,1,3,3,2
"2016-10-17 02:00:00+00",20032,"van",-1,10,4,3,4,1,0
"2016-10-17 02:00:00+00",20032,"van",0,11,5,7,4,1,3
"2016-10-17 23:00:00+00",20033,"sjs",-3,2,0,0,0,0,0
"2016-10-17 23:00:00+00",20033,"sjs",-2,11,3,6,2,3,2
"2016-10-17 23:00:00+00",20033,"sjs",-1,6,8,5,1,1,2
"2016-10-17 23:00:00+00",20033,"sjs",0,5,10,6,0,4,0
"2016-10-17 23:00:00+00",20033,"nyr",0,10,5,0,6,0,4
"2016-10-17 23:00:00+00",20033,"nyr",1,8,6,1,5,2,1
"2016-10-17 23:00:00+00",20033,"nyr",2,3,11,2,6,2,3
"2016-10-17 23:00:00+00",20033,"nyr",3,0,2,0,0,0,0
"2016-10-17 23:00:00+00",20034,"col",-2,0,0,0,1,1,0
"2016-10-17 23:00:00+00",20034,"col",-1,2,2,1,0,0,0
"2016-10-17 23:00:00+00",20034,"col",0,18,25,11,8,2,12
"2016-10-17 23:00:00+00",20034,"pit",0,25,18,8,11,12,2
"2016-10-17 23:00:00+00",20034,"pit",1,2,2,0,1,0,0
"2016-10-17 23:00:00+00",20034,"pit",2,0,0,1,0,0,1
"2016-10-17 23:30:00+00",20035,"ott",-3,6,1,1,0,0,3
"2016-10-17 23:30:00+00",20035,"ott",-2,14,10,7,2,7,1
"2016-10-17 23:30:00+00",20035,"ott",-1,1,5,0,0,0,1
"2016-10-17 23:30:00+00",20035,"ott",0,3,5,2,1,1,0
"2016-10-17 23:30:00+00",20035,"det",0,5,3,1,2,0,1
"2016-10-17 23:30:00+00",20035,"det",1,5,1,0,0,1,0
"2016-10-17 23:30:00+00",20035,"det",2,10,14,2,7,1,7
"2016-10-17 23:30:00+00",20035,"det",3,1,6,0,1,3,0
"2016-10-18 00:00:00+00",20036,"bos",-1,2,0,0,0,0,0
"2016-10-18 00:00:00+00",20036,"bos",0,13,13,6,8,8,2
"2016-10-18 00:00:00+00",20036,"bos",1,3,4,2,5,1,2
"2016-10-18 00:00:00+00",20036,"bos",2,0,0,0,0,0,0
"2016-10-18 00:00:00+00",20036,"bos",3,0,0,0,0,0,0
"2016-10-18 00:00:00+00",20036,"wpg",-3,0,0,0,0,0,0
"2016-10-18 00:00:00+00",20036,"wpg",-2,0,0,0,0,0,0
"2016-10-18 00:00:00+00",20036,"wpg",-1,4,3,5,2,2,1
"2016-10-18 00:00:00+00",20036,"wpg",0,13,13,8,6,2,8
"2016-10-18 00:00:00+00",20036,"wpg",1,0,2,0,0,0,0
"2016-10-18 23:00:00+00",20037,"ana",-1,7,1,5,3,0,2
"2016-10-18 23:00:00+00",20037,"ana",0,2,6,2,1,3,1
"2016-10-18 23:00:00+00",20037,"ana",1,4,9,0,2,1,2
"2016-10-18 23:00:00+00",20037,"njd",-1,9,4,2,0,2,1
"2016-10-18 23:00:00+00",20037,"njd",0,6,2,1,2,1,3
"2016-10-18 23:00:00+00",20037,"njd",1,1,7,3,5,2,0
"2016-10-18 23:00:00+00",20038,"sjs",-1,3,3,0,0,1,1
"2016-10-18 23:00:00+00",20038,"sjs",0,12,9,11,7,5,3
"2016-10-18 23:00:00+00",20038,"sjs",1,9,9,6,3,3,4
"2016-10-18 23:00:00+00",20038,"nyi",-1,9,9,3,6,4,3
"2016-10-18 23:00:00+00",20038,"nyi",0,9,12,7,11,3,5
"2016-10-18 23:00:00+00",20038,"nyi",1,3,3,0,0,1,1
"2016-10-18 23:00:00+00",20039,"col",-3,3,4,1,2,0,0
"2016-10-18 23:00:00+00",20039,"col",-2,4,9,3,2,2,2
"2016-10-18 23:00:00+00",20039,"col",-1,5,5,3,2,0,2
"2016-10-18 23:00:00+00",20039,"col",0,3,9,1,3,3,2
"2016-10-18 23:00:00+00",20039,"wsh",0,9,3,3,1,2,3
"2016-10-18 23:00:00+00",20039,"wsh",1,5,5,2,3,2,0
"2016-10-18 23:00:00+00",20039,"wsh",2,9,4,2,3,2,2
"2016-10-18 23:00:00+00",20039,"wsh",3,4,3,2,1,0,0
"2016-10-18 23:30:00+00",20040,"pit",-3,7,6,1,2,2,1
"2016-10-18 23:30:00+00",20040,"pit",-2,2,3,0,0,2,1
"2016-10-18 23:30:00+00",20040,"pit",-1,21,12,6,5,6,5
"2016-10-18 23:30:00+00",20040,"pit",0,0,2,0,0,0,0
"2016-10-18 23:30:00+00",20040,"mtl",0,2,0,0,0,0,0
"2016-10-18 23:30:00+00",20040,"mtl",1,12,21,5,6,5,6
"2016-10-18 23:30:00+00",20040,"mtl",2,3,2,0,0,1,2
"2016-10-18 23:30:00+00",20040,"mtl",3,6,7,2,1,1,2
"2016-10-18 23:30:00+00",20041,"ari",-3,3,1,1,0,1,0
"2016-10-18 23:30:00+00",20041,"ari",-2,7,11,2,1,1,1
"2016-10-18 23:30:00+00",20041,"ari",-1,9,11,5,5,5,6
"2016-10-18 23:30:00+00",20041,"ari",0,9,11,7,1,2,1
"2016-10-18 23:30:00+00",20041,"ari",1,0,0,0,0,0,0
"2016-10-18 23:30:00+00",20041,"ott",-1,0,0,0,0,0,0
"2016-10-18 23:30:00+00",20041,"ott",0,11,9,1,7,1,2
"2016-10-18 23:30:00+00",20041,"ott",1,11,9,5,5,6,5
"2016-10-18 23:30:00+00",20041,"ott",2,11,7,1,2,1,1
"2016-10-18 23:30:00+00",20041,"ott",3,1,3,0,1,0,1
"2016-10-18 23:30:00+00",20042,"fla",-1,5,4,0,1,3,2
"2016-10-18 23:30:00+00",20042,"fla",0,18,20,5,4,8,4
"2016-10-18 23:30:00+00",20042,"fla",1,4,2,0,2,2,0
"2016-10-18 23:30:00+00",20042,"tbl",-1,2,4,2,0,0,2
"2016-10-18 23:30:00+00",20042,"tbl",0,20,18,4,5,4,8
"2016-10-18 23:30:00+00",20042,"tbl",1,4,5,1,0,2,3
"2016-10-19 00:00:00+00",20043,"dal",0,26,14,15,12,11,3
"2016-10-19 00:00:00+00",20043,"dal",1,3,8,1,5,1,1
"2016-10-19 00:00:00+00",20043,"nsh",-1,8,3,5,1,1,1
"2016-10-19 00:00:00+00",20043,"nsh",0,14,26,12,15,3,11
"2016-10-19 00:00:00+00",20044,"lak",-3,14,9,5,0,5,2
"2016-10-19 00:00:00+00",20044,"lak",-2,3,3,0,1,1,0
"2016-10-19 00:00:00+00",20044,"lak",-1,3,1,4,0,0,2
"2016-10-19 00:00:00+00",20044,"lak",0,4,4,6,1,7,1
"2016-10-19 00:00:00+00",20044,"lak",1,0,1,0,0,0,0
"2016-10-19 00:00:00+00",20044,"min",-1,1,0,0,0,0,0
"2016-10-19 00:00:00+00",20044,"min",0,4,4,1,6,1,7
"2016-10-19 00:00:00+00",20044,"min",1,1,3,0,4,2,0
"2016-10-19 00:00:00+00",20044,"min",2,3,3,1,0,0,1
"2016-10-19 00:00:00+00",20044,"min",3,9,14,0,5,2,5
"2016-10-19 00:30:00+00",20045,"phi",-3,9,8,1,2,2,1
"2016-10-19 00:30:00+00",20045,"phi",-2,2,0,0,2,0,1
"2016-10-19 00:30:00+00",20045,"phi",-1,9,11,2,2,2,0
"2016-10-19 00:30:00+00",20045,"phi",0,2,4,2,3,0,1
"2016-10-19 00:30:00+00",20045,"chi",0,4,2,3,2,1,0
"2016-10-19 00:30:00+00",20045,"chi",1,11,9,2,2,0,2
"2016-10-19 00:30:00+00",20045,"chi",2,0,2,2,0,1,0
"2016-10-19 00:30:00+00",20045,"chi",3,8,9,2,1,1,2
"2016-10-19 01:00:00+00",20046,"buf",0,12,9,5,4,3,8
"2016-10-19 01:00:00+00",20046,"buf",1,3,14,4,5,0,4
"2016-10-19 01:00:00+00",20046,"cgy",-1,14,3,5,4,4,0
"2016-10-19 01:00:00+00",20046,"cgy",0,9,12,4,5,8,3
"2016-10-19 01:00:00+00",20047,"car",-3,11,9,5,5,4,2
"2016-10-19 01:00:00+00",20047,"car",-2,8,1,0,6,2,2
"2016-10-19 01:00:00+00",20047,"car",-1,5,12,7,1,6,6
"2016-10-19 01:00:00+00",20047,"car",0,1,2,0,0,1,0
"2016-10-19 01:00:00+00",20047,"edm",0,2,1,0,0,0,1
"2016-10-19 01:00:00+00",20047,"edm",1,12,5,1,7,6,6
"2016-10-19 01:00:00+00",20047,"edm",2,1,8,6,0,2,2
"2016-10-19 01:00:00+00",20047,"edm",3,9,11,5,5,2,4
"2016-10-19 02:00:00+00",20048,"stl",0,9,8,6,4,3,3
"2016-10-19 02:00:00+00",20048,"stl",1,11,11,2,7,1,5
"2016-10-19 02:00:00+00",20048,"van",-1,11,11,7,2,5,1
"2016-10-19 02:00:00+00",20048,"van",0,8,9,4,6,3,3
"2016-10-20 00:00:00+00",20049,"det",-1,7,15,5,5,3,8
"2016-10-20 00:00:00+00",20049,"det",0,4,5,3,3,1,5
"2016-10-20 00:00:00+00",20049,"det",1,3,4,2,6,6,5
"2016-10-20 00:00:00+00",20049,"nyr",-1,4,3,6,2,5,6
"2016-10-20 00:00:00+00",20049,"nyr",0,5,4,3,3,5,1
"2016-10-20 00:00:00+00",20049,"nyr",1,15,7,5,5,8,3
"2016-10-20 00:00:00+00",20050,"tor",0,3,4,1,1,2,1
"2016-10-20 00:00:00+00",20050,"tor",1,11,4,9,11,2,5
"2016-10-20 00:00:00+00",20050,"tor",2,10,11,3,9,0,4
"2016-10-20 00:00:00+00",20050,"tor",3,6,7,1,4,3,5
"2016-10-20 00:00:00+00",20050,"wpg",-3,7,6,4,1,5,3
"2016-10-20 00:00:00+00",20050,"wpg",-2,11,10,9,3,4,0
"2016-10-20 00:00:00+00",20050,"wpg",-1,4,11,11,9,5,2
"2016-10-20 00:00:00+00",20050,"wpg",0,4,3,1,1,1,2
"2016-10-20 23:00:00+00",20051,"njd",-1,0,0,0,0,0,0
"2016-10-20 23:00:00+00",20051,"njd",0,24,25,15,11,8,11
"2016-10-20 23:00:00+00",20051,"njd",1,0,6,0,1,0,2
"2016-10-20 23:00:00+00",20051,"bos",-1,6,0,1,0,2,0
"2016-10-20 23:00:00+00",20051,"bos",0,25,24,11,15,11,8
"2016-10-20 23:00:00+00",20051,"bos",1,0,0,0,0,0,0
"2016-10-20 23:00:00+00",20052,"ana",-1,1,1,2,0,0,1
"2016-10-20 23:00:00+00",20052,"ana",0,14,9,8,3,1,2
