"season","date","gameId","team","iceSit","playerId","position","period","periodType","start","end"
20152016,20160531,30411,"pit","home",8473933,"d",3,"regular",80,81
20152016,20160531,30411,"pit","home",8476874,"d",3,"regular",80,81
20152016,20160531,30411,"pit","home",8474176,"lw",2,"regular",45,47
20152016,20160531,30411,"pit","home",8476874,"d",3,"regular",285,287
20152016,20160531,30411,"sjs","away",8474027,"d",3,"regular",608,611
20152016,20160531,30411,"sjs","away",8471709,"d",3,"regular",608,611
20152016,20160531,30411,"pit","home",8475810,"rw",2,"regular",220,224
20152016,20160531,30411,"pit","home",8475208,"d",3,"regular",819,823
20152016,20160531,30411,"pit","home",8471724,"d",3,"regular",819,823
20152016,20160531,30411,"pit","home",8474009,"c",3,"regular",819,823
20152016,20160531,30411,"pit","home",8464989,"c",1,"regular",1147,1151
20152016,20160531,30411,"sjs","away",8477922,"c",3,"regular",817,823
20152016,20160531,30411,"sjs","away",8471709,"d",3,"regular",856,862
20152016,20160531,30411,"pit","home",8474009,"c",2,"regular",40,47
20152016,20160531,30411,"pit","home",8473548,"rw",2,"regular",40,47
20152016,20160531,30411,"sjs","away",8466139,"lw",3,"regular",280,287
20152016,20160531,30411,"pit","home",8476874,"d",1,"regular",992,999
20152016,20160531,30411,"sjs","away",8475455,"d",3,"regular",600,608
20152016,20160531,30411,"sjs","away",8474096,"c",3,"regular",600,608
20152016,20160531,30411,"sjs","away",8474739,"c",3,"regular",600,608
20152016,20160531,30411,"sjs","away",8464977,"c",2,"regular",1192,1200
20152016,20160531,30411,"sjs","away",8468208,"rw",2,"regular",1192,1200
20152016,20160531,30411,"sjs","away",8470613,"d",1,"regular",0,9
20152016,20160531,30411,"sjs","away",8470794,"c",1,"regular",0,9
20152016,20160531,30411,"sjs","away",8466138,"c",1,"regular",0,9
20152016,20160531,30411,"sjs","away",8468542,"d",1,"regular",0,9
20152016,20160531,30411,"sjs","away",8476881,"c",1,"regular",0,9
20152016,20160531,30411,"pit","home",8464989,"c",2,"regular",224,233
20152016,20160531,30411,"sjs","away",8474027,"d",2,"regular",782,791
20152016,20160531,30411,"sjs","away",8471709,"d",2,"regular",782,791
20152016,20160531,30411,"pit","home",8473933,"d",3,"regular",1191,1200
20152016,20160531,30411,"sjs","away",8466139,"lw",3,"regular",407,417
20152016,20160531,30411,"sjs","away",8474027,"d",2,"regular",1092,1102
20152016,20160531,30411,"pit","home",8474176,"lw",3,"regular",70,81
20152016,20160531,30411,"pit","home",8477839,"lw",3,"regular",70,81
20152016,20160531,30411,"pit","home",8474009,"c",3,"regular",70,81
20152016,20160531,30411,"sjs","away",8474027,"d",1,"regular",93,104
20152016,20160531,30411,"sjs","away",8471709,"d",1,"regular",93,104
20152016,20160531,30411,"pit","home",8476874,"d",2,"regular",397,408
20152016,20160531,30411,"pit","home",8477839,"lw",1,"regular",697,708
20152016,20160531,30411,"pit","home",8471887,"rw",1,"regular",697,708
20152016,20160531,30411,"pit","home",8471675,"c",1,"regular",697,708
20152016,20160531,30411,"pit","home",8475208,"d",2,"regular",47,59
20152016,20160531,30411,"pit","home",8470611,"c",2,"regular",47,59
20152016,20160531,30411,"pit","home",8471724,"d",2,"regular",47,59
20152016,20160531,30411,"pit","home",8464989,"c",2,"regular",47,59
20152016,20160531,30411,"pit","home",8475832,"rw",2,"regular",47,59
20152016,20160531,30411,"pit","home",8475810,"rw",2,"regular",233,245
20152016,20160531,30411,"pit","home",8474013,"d",2,"regular",333,345
20152016,20160531,30411,"pit","home",8474602,"d",2,"regular",333,345
20152016,20160531,30411,"sjs","away",8468208,"rw",2,"regular",333,345
20152016,20160531,30411,"sjs","away",8474096,"c",3,"regular",992,1004
20152016,20160531,30411,"pit","home",8474013,"d",3,"regular",992,1004
20152016,20160531,30411,"sjs","away",8475455,"d",3,"regular",68,81
20152016,20160531,30411,"sjs","away",8464977,"c",3,"regular",68,81
20152016,20160531,30411,"sjs","away",8471392,"d",3,"regular",68,81
20152016,20160531,30411,"sjs","away",8476881,"c",3,"regular",68,81
20152016,20160531,30411,"sjs","away",8476919,"c",3,"regular",287,300
20152016,20160531,30411,"sjs","away",8477922,"c",3,"regular",287,300
20152016,20160531,30411,"sjs","away",8475455,"d",2,"regular",637,650
20152016,20160531,30411,"sjs","away",8466139,"lw",1,"regular",684,697
