"datetime","a_team","h_team","a_final","h_final"
"2016-10-30 02:00:00+00","wsh","van",5,2
"2016-10-30 02:30:00+00","nsh","sjs",1,4
"2016-10-30 19:00:00+00","buf","wpg",3,1
"2016-10-30 21:00:00+00","fla","det",5,2
"2016-10-30 21:00:00+00","phi","car",4,3
"2016-10-30 22:00:00+00","tor","nyi",1,5
"2016-10-30 23:00:00+00","tbl","nyr",1,6
"2016-10-30 23:00:00+00","lak","chi",0,3
"2016-10-31 01:00:00+00","ott","edm",2,0
"2016-10-31 01:30:00+00","wsh","cgy",3,1
"2016-11-01 23:30:00+00","tbl","nyi",6,1
"2016-11-01 23:00:00+00","stl","nyr",0,5
"2016-11-01 23:00:00+00","dal","cbj",2,3
"2016-11-01 23:30:00+00","edm","tor",2,3
"2016-11-01 23:30:00+00","car","ott",1,2
"2016-11-01 23:30:00+00","bos","fla",2,1
"2016-11-02 00:00:00+00","buf","min",2,1
"2016-11-02 00:00:00+00","wsh","wpg",3,2
"2016-11-02 00:30:00+00","cgy","chi",1,5
"2016-11-02 01:00:00+00","nsh","col",5,1
"2016-11-02 02:00:00+00","sjs","ari",2,3
"2016-11-02 02:30:00+00","ana","lak",4,0
"2016-11-02 23:30:00+00","van","mtl",0,3
"2016-11-03 00:00:00+00","det","phi",3,4
"2016-11-03 02:30:00+00","pit","ana",5,1
"2016-11-03 23:00:00+00","tor","buf",2,1
"2016-11-03 23:00:00+00","phi","nyi",3,2
"2016-11-03 23:00:00+00","edm","nyr",3,5
"2016-11-03 23:00:00+00","wpg","wsh",3,4
"2016-11-03 23:30:00+00","van","ott",0,1
"2016-11-03 23:30:00+00","bos","tbl",4,3
"2016-11-03 23:30:00+00","njd","fla",3,4
"2016-11-04 00:30:00+00","col","chi",0,4
"2016-11-04 00:30:00+00","stl","dal",2,6
"2016-11-04 02:00:00+00","nsh","ari",2,3
"2016-11-04 02:30:00+00","pit","lak",2,3
"2016-11-04 02:30:00+00","cgy","sjs",3,2
"2016-11-04 23:00:00+00","mtl","cbj",0,10
"2016-11-04 23:30:00+00","wpg","det",5,3
"2016-11-05 02:00:00+00","ari","ana",1,5
"2016-11-05 19:00:00+00","min","col",0,1
"2016-11-05 23:00:00+00","nyr","bos",5,2
"2016-11-05 23:00:00+00","van","tor",3,6
"2016-11-05 23:00:00+00","phi","mtl",4,5
"2016-11-05 23:00:00+00","buf","ott",2,1
"2016-11-05 23:00:00+00","njd","tbl",1,4
"2016-11-05 23:00:00+00","edm","nyi",4,3
"2016-11-05 23:00:00+00","fla","wsh",2,4
"2016-11-05 23:00:00+00","cbj","stl",1,2
"2016-11-06 00:00:00+00","car","nsh",3,2
"2016-11-06 00:00:00+00","chi","dal",3,2
"2016-11-06 02:00:00+00","cgy","lak",0,5
"2016-11-06 02:30:00+00","pit","sjs",5,0
"2016-11-06 22:00:00+00","edm","det",2,1
"2016-11-06 22:00:00+00","col","stl",1,5
"2016-11-06 23:00:00+00","njd","car",4,1
"2016-11-07 00:00:00+00","wpg","nyr",2,5
"2016-11-07 00:00:00+00","dal","chi",3,4
"2016-11-07 02:30:00+00","cgy","ana",1,4
"2016-11-08 00:00:00+00","buf","bos",0,4
"2016-11-08 00:00:00+00","van","nyi",2,4
"2016-11-08 00:30:00+00","tbl","fla",1,3
"2016-11-09 00:00:00+00","car","njd",2,3
"2016-11-09 00:00:00+00","van","nyr",5,3
"2016-11-09 00:00:00+00","det","phi",3,2
"2016-11-09 00:00:00+00","edm","pit",3,4
"2016-11-09 00:00:00+00","sjs","wsh",3,0
"2016-11-09 00:30:00+00","lak","tor",7,0
"2016-11-09 00:30:00+00","bos","mtl",2,3
"2016-11-09 01:00:00+00","ott","nsh",1,3
"2016-11-09 01:00:00+00","dal","wpg",2,8
"2016-11-09 02:00:00+00","ari","col",4,2
"2016-11-10 00:00:00+00","ana","cbj",2,3
"2016-11-10 00:30:00+00","ott","buf",2,1
"2016-11-10 01:00:00+00","chi","stl",2,1
"2016-11-11 00:00:00+00","cbj","bos",2,5
"2016-11-11 00:00:00+00","min","pit",4,2
"2016-11-11 00:00:00+00","ana","car",4,2
"2016-11-11 00:30:00+00","lak","mtl",1,4
"2016-11-11 00:30:00+00","van","det",1,3
"2016-11-11 00:30:00+00","nyi","tbl",1,4
"2016-11-11 00:30:00+00","sjs","fla",4,2
"2016-11-11 01:00:00+00","stl","nsh",1,3
"2016-11-11 02:00:00+00","dal","cgy",4,2
"2016-11-11 02:00:00+00","wpg","ari",3,2
"2016-11-12 00:00:00+00","njd","buf",2,1
"2016-11-12 00:00:00+00","phi","tor",3,6
"2016-11-12 00:30:00+00","lak","ott",1,2
"2016-11-12 01:30:00+00","wsh","chi",3,2
"2016-11-12 02:00:00+00","wpg","col",2,3
"2016-11-12 02:00:00+00","dal","edm",3,2
"2016-11-13 00:00:00+00","det","mtl",0,5
"2016-11-13 00:00:00+00","sjs","tbl",3,1
"2016-11-13 00:00:00+00","nyi","fla",2,3
"2016-11-13 00:00:00+00","buf","njd",2,4
"2016-11-13 00:00:00+00","min","phi",2,3
"2016-11-13 00:00:00+00","tor","pit",1,4
"2016-11-13 00:00:00+00","wsh","car",1,5
"2016-11-13 00:00:00+00","stl","cbj",4,8
"2016-11-13 01:00:00+00","ana","nsh",0,5
"2016-11-13 01:00:00+00","bos","ari",2,1
"2016-11-13 03:00:00+00","nyr","cgy",4,1
"2016-11-13 19:00:00+00","lak","wpg",2,3
"2016-11-13 21:00:00+00","dal","van",4,5
"2016-11-13 22:00:00+00","min","ott",2,1
"2016-11-14 00:00:00+00","mtl","chi",2,3
"2016-11-14 00:00:00+00","bos","col",2,0
"2016-11-14 02:30:00+00","nyr","edm",3,1
"2016-11-15 00:00:00+00","tbl","nyi",4,0
"2016-11-16 00:00:00+00","ott","phi",3,2
"2016-11-16 00:00:00+00","sjs","car",0,1
"2016-11-16 00:00:00+00","wsh","cbj",1,2
"2016-11-16 00:30:00+00","nsh","tor",2,6
"2016-11-16 00:30:00+00","fla","mtl",4,3
"2016-11-16 00:30:00+00","tbl","det",4,3
"2016-11-16 01:00:00+00","buf","stl",1,4
"2016-11-16 01:00:00+00","cgy","min",1,0
"2016-11-16 01:00:00+00","chi","wpg",0,4
"2016-11-16 01:30:00+00","njd","dal",2,1
"2016-11-16 02:00:00+00","lak","col",1,4
"2016-11-16 03:00:00+00","nyr","van",7,2
"2016-11-16 03:00:00+00","edm","ana",1,4
"2016-11-17 00:30:00+00","pit","wsh",1,7
"2016-11-17 03:00:00+00","ari","cgy",1,2
"2016-11-18 00:00:00+00","tbl","buf",4,1
"2016-11-18 00:00:00+00","wpg","phi",2,5
"2016-11-18 00:30:00+00","fla","tor",1,6
"2016-11-18 00:30:00+00","nsh","ott",5,1
"2016-11-18 01:00:00+00","sjs","stl",2,3
"2016-11-18 01:00:00+00","bos","min",0,1
"2016-11-18 01:30:00+00","col","dal",2,3
"2016-11-18 03:00:00+00","ari","van",2,3
"2016-11-18 03:00:00+00","njd","ana",2,3
"2016-11-18 03:30:00+00","edm","lak",2,4
"2016-11-19 00:00:00+00","pit","nyi",3,2
"2016-11-19 00:00:00+00","det","wsh",0,1
"2016-11-19 00:00:00+00","nyr","cbj",2,4
"2016-11-19 00:30:00+00","mtl","car",2,3
"2016-11-19 02:00:00+00","chi","cgy",3,2
"2016-11-19 18:00:00+00","tbl","phi",3,0
"2016-11-19 21:00:00+00","njd","lak",2,4
"2016-11-20 00:00:00+00","wpg","bos",1,4
"2016-11-20 00:00:00+00","pit","buf",1,2
"2016-11-20 00:00:00+00","tor","mtl",1,2
"2016-11-20 00:00:00+00","fla","ott",4,1
"2016-11-20 00:00:00+00","edm","dal",5,2
"2016-11-20 01:00:00+00","nsh","stl",1,3
"2016-11-20 01:00:00+00","col","min",3,2
"2016-11-20 01:00:00+00","sjs","ari",2,3
"2016-11-20 03:00:00+00","chi","van",4,3
"2016-11-20 17:30:00+00","cbj","wsh",3,2
"2016-11-21 00:00:00+00","fla","nyr",3,2
"2016-11-20 22:00:00+00","wpg","car",1,3
"2016-11-21 00:30:00+00","cgy","det",3,2
"2016-11-21 01:00:00+00","lak","ana",3,2
"2016-11-22 00:00:00+00","cgy","buf",2,4
"2016-11-22 00:00:00+00","nyr","pit",5,2
"2016-11-22 00:00:00+00","col","cbj",3,2
"2016-11-22 01:00:00+00","tbl","nsh",1,3
"2016-11-22 01:30:00+00","min","dal",2,3
"2016-11-22 02:00:00+00","chi","edm",0,5
"2016-11-22 03:30:00+00","njd","sjs",0,4
"2016-11-23 00:00:00+00","stl","bos",4,2
"2016-11-23 00:00:00+00","car","tor",2,1
"2016-11-23 00:30:00+00","ott","mtl",4,3
"2016-11-23 00:30:00+00","phi","fla",3,1
"2016-11-23 03:00:00+00","nyi","ana",3,2
"2016-11-24 00:00:00+00","det","buf",2,1
"2016-11-24 00:00:00+00","tor","njd",4,5
"2016-11-24 00:00:00+00","pit","nyr",6,1
"2016-11-24 00:00:00+00","stl","wsh",3,4
"2016-11-24 00:00:00+00","cgy","cbj",2,0
"2016-11-24 00:00:00+00","wpg","min",1,3
"2016-11-24 00:30:00+00","phi","tbl",2,4
"2016-11-24 01:00:00+00","dal","nsh",2,5
"2016-11-24 03:00:00+00","edm","col",6,3
"2016-11-24 03:00:00+00","van","ari",4,1
"2016-11-24 03:30:00+00","nyi","lak",2,4
"2016-11-24 03:00:00+00","chi","sjs",1,2
"2016-11-25 00:30:00+00","car","mtl",1,2
"2016-11-25 00:30:00+00","bos","ott",1,3
"2016-11-25 18:00:00+00","nyr","phi",3,2
"2016-11-25 21:00:00+00","pit","min",2,6
"2016-11-25 21:00:00+00","chi","ana",3,2
"2016-11-25 21:00:00+00","nyi","sjs",2,3
"2016-11-25 22:00:00+00","buf","wsh",1,3
"2016-11-25 23:00:00+00","wpg","nsh",1,5
"2016-11-26 00:30:00+00","cgy","bos",2,1
"2016-11-26 00:30:00+00","cbj","tbl",5,3
"2016-11-26 00:30:00+00","det","njd",5,4
"2016-11-26 01:30:00+00","van","dal",1,2
"2016-11-26 02:00:00+00","edm","ari",2,3
"2016-11-27 00:00:00+00","wsh","tor",2,4
"2016-11-27 00:00:00+00","car","ott",1,2
"2016-11-27 00:00:00+00","mtl","det",2,1
"2016-11-27 00:00:00+00","cbj","fla",1,2
"2016-11-27 00:00:00+00","njd","pit",3,4
"2016-11-27 01:00:00+00","min","stl",3,4
"2016-11-27 03:00:00+00","van","col",3,2
"2016-11-27 03:30:00+00","chi","lak",1,2
"2016-11-27 03:30:00+00","ana","sjs",3,2
"2016-11-27 18:00:00+00","tbl","bos",1,4
"2016-11-27 20:00:00+00","ari","edm",2,1
"2016-11-27 23:00:00+00","fla","car",2,3
"2016-11-27 18:00:00+00","nsh","wpg",0,3
"2016-11-28 00:00:00+00","ott","nyr",2,0
"2016-11-28 00:30:00+00","cgy","phi",3,5
"2016-11-29 00:00:00+00","cgy","nyi",1,2
"2016-11-29 01:00:00+00","dal","stl",3,4
"2016-11-30 00:00:00+00","car","nyr",2,3
"2016-11-30 00:30:00+00","bos","phi",2,3
"2016-11-30 00:00:00+00","tbl","cbj",1,5
"2016-11-30 00:30:00+00","buf","ott",5,4
"2016-11-30 00:30:00+00","dal","det",1,3
"2016-11-30 01:00:00+00","njd","wpg",2,3
"2016-11-30 01:30:00+00","fla","chi",1,2
"2016-11-30 02:00:00+00","nsh","col",5,3
"2016-11-30 02:00:00+00","tor","edm",4,2
"2016-11-30 03:00:00+00","min","van",4,5
"2016-11-30 03:00:00+00","mtl","ana",1,2
"2016-11-30 03:00:00+00","ari","sjs",1,2
"2016-12-01 01:00:00+00","pit","nyi",3,5
"2016-12-01 01:30:00+00","tor","cgy",0,3
"2016-12-01 03:30:00+00","sjs","lak",4,1
"2016-12-02 00:00:00+00","car","bos",1,2
"2016-12-02 00:00:00+00","nyr","buf",3,4
"2016-12-02 00:00:00+00","dal","pit",2,6
"2016-12-02 00:00:00+00","nyi","wsh",3,0
"2016-12-02 00:30:00+00","phi","ott",3,2
"2016-12-02 00:30:00+00","fla","det",2,1
"2016-12-02 01:00:00+00","tbl","stl",4,5
"2016-12-02 01:00:00+00","edm","wpg",6,3
"2016-12-02 01:30:00+00","njd","chi",3,4
"2016-12-02 02:00:00+00","cbj","col",3,2
"2016-12-02 02:00:00+00","lak","ari",4,3
"2016-12-02 03:00:00+00","ana","van",3,1
"2016-12-03 02:00:00+00","min","cgy",2,3
"2016-12-03 03:30:00+00","mtl","sjs",1,2
"2016-12-03 18:00:00+00","bos","buf",2,1
"2016-12-03 18:00:00+00","car","nyr",2,4
"2016-12-03 18:00:00+00","chi","phi",1,3
"2016-12-03 19:00:00+00","njd","nsh",5,4
"2016-12-04 00:00:00+00","fla","ott",0,2
"2016-12-04 00:00:00+00","wsh","tbl",1,2
"2016-12-04 00:00:00+00","det","pit",3,5
"2016-12-04 00:00:00+00","wpg","stl",3,2
"2016-12-04 00:00:00+00","tor","van",2,3
"2016-12-04 01:00:00+00","cbj","ari",3,2
"2016-12-04 02:00:00+00","dal","col",3,0
"2016-12-04 03:00:00+00","ana","edm",2,3
"2016-12-04 22:00:00+00","tbl","car",0,1
"2016-12-04 23:00:00+00","det","nyi",4,3
"2016-12-04 23:00:00+00","phi","nsh",4,2
"2016-12-05 00:00:00+00","wpg","chi",2,1
"2016-12-05 02:30:00+00","ana","cgy",3,8
"2016-12-05 02:30:00+00","min","edm",2,1
"2016-12-04 20:00:00+00","mtl","lak",5,4
"2016-12-06 00:00:00+00","fla","bos",3,4
"2016-12-06 00:00:00+00","ott","pit",5,8
"2016-12-06 00:00:00+00","buf","wsh",2,3
"2016-12-06 00:00:00+00","ari","cbj",1,4
"2016-12-07 00:00:00+00","edm","buf",3,4
"2016-12-07 00:00:00+00","van","njd",2,3
"2016-12-07 00:00:00+00","nyr","nyi",2,4
"2016-12-07 00:00:00+00","fla","phi",2,3
"2016-12-07 01:00:00+00","mtl","stl",2,3
"2016-12-07 01:00:00+00","col","nsh",3,4
"2016-12-07 01:00:00+00","det","wpg",4,3
"2016-12-07 01:30:00+00","ari","chi",0,4
"2016-12-07 01:30:00+00","cgy","dal",2,1
"2016-12-08 00:30:00+00","min","tor",3,2
"2016-12-08 01:00:00+00","bos","wsh",3,4
"2016-12-08 03:30:00+00","car","ana",5,6
"2016-12-08 03:30:00+00","ott","sjs",4,2
"2016-12-09 00:00:00+00","col","bos",4,2
"2016-12-09 00:00:00+00","stl","nyi",2,3
"2016-12-09 00:00:00+00","edm","phi",5,6
"2016-12-09 00:30:00+00","njd","mtl",2,5
"2016-12-09 00:30:00+00","van","tbl",5,1
"2016-12-09 00:30:00+00","pit","fla",5,1
"2016-12-09 01:00:00+00","nyr","wpg",2,1
"2016-12-09 01:30:00+00","nsh","dal",2,5
"2016-12-09 02:00:00+00","cgy","ari",2,1
"2016-12-09 03:30:00+00","car","lak",3,1
"2016-12-10 00:00:00+00","wsh","buf",4,1
"2016-12-10 00:30:00+00","cbj","det",4,1
"2016-12-10 00:30:00+00","stl","njd",4,1
"2016-12-10 01:00:00+00","edm","min",2,3
"2016-12-10 01:30:00+00","nyr","chi",1,0
"2016-12-10 03:00:00+00","sjs","ana",2,3
"2016-12-10 18:00:00+00","dal","phi",2,4
"2016-12-10 21:00:00+00","ott","lak",1,4
"2016-12-11 00:00:00+00","tor","bos",4,1
"2016-12-11 00:00:00+00","col","mtl",1,10
"2016-12-11 00:00:00+00","pit","tbl",4,3
"2016-12-11 00:00:00+00","van","fla",2,4
"2016-12-11 00:00:00+00","nyi","cbj",2,6
"2016-12-11 01:00:00+00","nsh","ari",1,4
"2016-12-11 03:00:00+00","wpg","cgy",2,6
"2016-12-11 03:30:00+00","car","sjs",3,4
"2016-12-11 21:00:00+00","ott","ana",1,5
"2016-12-11 22:00:00+00","phi","det",1,0
"2016-12-11 22:00:00+00","van","wsh",0,3
"2016-12-11 23:00:00+00","stl","min",1,3
"2016-12-12 00:00:00+00","col","tor",3,1
"2016-12-12 00:00:00+00","njd","nyr",0,5
"2016-12-12 00:00:00+00","dal","chi",1,3
"2016-12-12 02:30:00+00","wpg","edm",2,3
"2016-12-13 00:00:00+00","ari","pit",0,7
"2016-12-13 00:30:00+00","bos","mtl",2,1
"2016-12-14 00:00:00+00","lak","buf",3,6
"2016-12-14 00:00:00+00","wsh","nyi",4,2
"2016-12-14 00:00:00+00","chi","nyr",2,1
"2016-12-14 00:00:00+00","van","car",6,8
"2016-12-14 00:30:00+00","sjs","tor",3,2
"2016-12-14 00:30:00+00","ari","det",4,1
"2016-12-14 01:00:00+00","stl","nsh",3,6
"2016-12-14 01:00:00+00","fla","min",1,5
"2016-12-14 01:30:00+00","ana","dal",2,6
"2016-12-14 02:00:00+00","cbj","edm",3,1
"2016-12-15 00:00:00+00","sjs","ott",4,3
"2016-12-15 00:30:00+00","bos","pit",3,4
"2016-12-15 02:30:00+00","tbl","cgy",6,3
"2016-12-15 03:00:00+00","phi","col",4,3
"2016-12-16 00:00:00+00","ana","bos",4,3
"2016-12-16 00:00:00+00","chi","nyi",5,4
"2016-12-16 00:30:00+00","ari","tor",3,2
"2016-12-16 00:30:00+00","lak","det",4,1
"2016-12-16 01:00:00+00","njd","stl",2,5
"2016-12-16 01:00:00+00","min","nsh",5,2
"2016-12-16 01:00:00+00","fla","wpg",3,4
"2016-12-16 01:30:00+00","nyr","dal",2,0
"2016-12-17 00:00:00+00","nyi","buf",2,3
"2016-12-17 00:00:00+00","lak","pit",1,0
"2016-12-17 00:30:00+00","sjs","mtl",4,2
"2016-12-17 00:30:00+00","wsh","car",4,3
"2016-12-17 02:00:00+00","fla","col",3,1
"2016-12-17 02:00:00+00","cbj","cgy",4,1
"2016-12-17 03:00:00+00","tbl","van",2,4
"2016-12-17 19:00:00+00","phi","dal",1,3
"2016-12-17 19:00:00+00","ari","min",1,4
"2016-12-18 00:00:00+00","pit","tor",1,2
"2016-12-18 00:00:00+00","njd","ott",1,3
"2016-12-18 00:00:00+00","ana","det",4,6
"2016-12-18 00:00:00+00","mtl","wsh",2,1
"2016-12-18 00:00:00+00","buf","car",1,2
"2016-12-18 01:00:00+00","chi","stl",6,4
"2016-12-18 01:00:00+00","nyr","nsh",2,1
"2016-12-18 03:00:00+00","tbl","edm",2,3
"2016-12-18 18:00:00+00","lak","bos",0,1
"2016-12-18 20:00:00+00","col","wpg",1,4
"2016-12-18 21:00:00+00","cbj","van",4,3
"2016-12-19 00:00:00+00","ott","nyi",6,2
"2016-12-19 00:00:00+00","sjs","chi",1,4
"2016-12-19 00:30:00+00","njd","nyr",2,3
"2016-12-20 00:00:00+00","nsh","phi",2,1
"2016-12-20 00:30:00+00","ana","tor",3,2
"2016-12-20 01:00:00+00","edm","stl",3,2
"2016-12-20 02:00:00+00","cgy","ari",4,2
"2016-12-21 00:00:00+00","nyi","bos",4,2
"2016-12-21 00:00:00+00","nsh","njd",5,1
"2016-12-21 00:00:00+00","nyr","pit",2,7
"2016-12-21 00:00:00+00","lak","cbj",2,3
"2016-12-21 00:30:00+00","ana","mtl",1,5
"2016-12-21 00:30:00+00","det","tbl",1,4
"2016-12-21 00:30:00+00","buf","fla",3,4
"2016-12-21 01:00:00+00","col","min",0,2
"2016-12-21 01:30:00+00","ott","chi",4,3
"2016-12-21 01:30:00+00","stl","dal",3,2
"2016-12-21 03:00:00+00","wpg","van",1,4
"2016-12-21 03:30:00+00","cgy","sjs",1,4
"2016-12-22 01:00:00+00","wsh","phi",2,3
"2016-12-22 02:30:00+00","edm","ari",3,2
"2016-12-23 00:00:00+00","car","buf",3,1
