"h_zone","loc_x","loc_y","type","team","venue","position"
"o",50,27,"shot","col","home","l"
"d",-62,1,"blocked_shot","nyr","away","l"
"o",30,-16,"missed_shot","chi","home","d"
"d",-67,-17,"shot","min","away","c"
"o",28,-24,"shot","nyi","home","l"
"o",-39,-3,"shot","nsh","away","d"
"o",87,-25,"missed_shot","sjs","away","c"
"d",-76,-18,"missed_shot","mtl","home","r"
"d",-53,3,"shot","ana","home","c"
"o",78,-1,"blocked_shot","lak","home","c"
"d",-65,10,"blocked_shot","pit","away","c"
"d",-70,15,"missed_shot","van","away","l"
"d",-46,-24,"blocked_shot","njd","away","c"
"d",-50,-4,"shot","fla","away","c"
"d",65,-21,"blocked_shot","wpg","home","d"
"d",-46,,"shot","wsh","home","l"
"d",-51,-25,"shot","wpg","away","c"
"o",52,-23,"blocked_shot","cgy","home","r"
"d",-53,1,"blocked_shot","wsh","home","d"
"d",-79,36,"missed_shot","car","away","c"
"o",-67,-18,"blocked_shot","ana","home","r"
"o",-58,39,"missed_shot","mtl","away","r"
"o",36,35,"missed_shot","car","away","d"
"o",-45,-36,"shot","mtl","home","d"
"o",-72,-21,"missed_shot","wpg","away","r"
"o",-32,25,"shot","tbl","away","d"
"d",-83,8,"goal","buf","away","c"
"d",70,13,"blocked_shot","wpg","away","r"
"o",41,36,"missed_shot","min","home","l"
"o",-35,-6,"missed_shot","wpg","home","d"
"o",-54,-19,"shot","nsh","home","d"
"d",-41,-22,"blocked_shot","tor","home","d"
"o",-45,7,"missed_shot","chi","home","d"
"o",71,11,"missed_shot","edm","home","l"
"o",58,-16,"shot","min","away","r"
"d",75,2,"missed_shot","dal","home","c"
"o",71,-14,"shot","nyi","away","d"
"o",-55,-17,"blocked_shot","van","home","d"
"o",56,-24,"shot","tbl","home","c"
"o",87,-5,"shot","edm","home","c"
"d",-60,-27,"missed_shot","col","home","c"
"d",-45,31,"shot","ari","home","d"
"d",-77,3,"blocked_shot","ari","home","d"
"d",-76,39,"missed_shot","nsh","away","c"
"o",86,-22,"shot","pit","home","l"
"d",-31,-30,"shot","car","away","d"
"o",61,36,"shot","cgy","home","c"
"o",86,-24,"blocked_shot","car","home","l"
"d",-82,-2,"shot","ott","away","c"
"d",-79,16,"blocked_shot","det","home","l"
"d",60,-11,"blocked_shot","car","away","d"
